,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
236,4.83,1.9,002279,久其软件,15562301.0,软件开发,-2.23,1.05,-0.96,0.46,9.08,491.0,1951,1120
237,10.96,3.2,300707,威唐工业,5554472.0,汽车零部件,-2.4,-12.74,2.18,-1.12,9.05,493.0,693,2052
238,19.48,9.99,002232,启明信息,78279763.0,互联网服务,41.67,47.02,5.81,4.28,9.04,494.0,188,193
239,3.85,1.58,300158,振东制药,3387178.0,化学制药,-3.51,-2.53,-0.05,3.11,9.02,497.0,1430,325
240,8.11,3.84,301558,三态股份,8736040.0,贸易行业,1.38,-1.93,2.82,0.67,9.01,500.0,547,1023
241,2.46,1.65,002102,能特科技,3070433.0,化学制药,-4.28,1.23,-2.2,1.61,9.0,501.0,2622,685
242,41.8,-0.55,000999,华润三九,30009043.0,中药,-4.98,1.68,3.64,1.69,9.0,502.0,385,606
243,7.3,3.55,002452,长高电新,8572864.0,电网设备,-0.68,-13.71,-0.79,-2.87,8.97,505.0,1769,3065
244,2.73,1.49,000753,漳州发展,1092179.0,汽车服务,0.37,-2.5,-3.9,-1.22,8.96,506.0,3561,2131
245,7.93,1.8,002456,欧菲光,59201670.0,光学光电子,-2.94,-6.04,-2.21,-3.61,8.95,507.0,2626,3762
246,6.12,0.16,301090,华润材料,2737900.0,化学原料,-6.85,-10.13,-1.98,-1.04,8.95,508.0,2505,2000
247,12.88,5.83,003025,思进智能,7793288.0,通用设备,3.7,6.98,1.62,-0.41,8.92,510.0,848,1620
248,6.4,1.27,300686,智动力,2727342.0,消费电子,-3.76,-18.78,-2.93,-4.26,8.91,512.0,3021,3893
249,8.12,2.4,301149,隆华新材,1482894.0,化学原料,-1.22,-6.34,-1.91,-6.71,8.91,513.0,2339,4757
250,4.59,3.61,300123,亚光科技,13831946.0,船舶制造,5.76,5.76,5.14,2.22,8.9,515.0,253,523
251,6.7,3.88,300265,通光线缆,9813953.0,电网设备,2.6,-2.47,3.06,-1.42,8.89,516.0,505,2254
252,5.78,0.7,300105,龙源技术,4548627.0,电源设备,-6.02,-10.66,-9.49,-2.48,8.88,518.0,5158,3005
253,1.44,2.13,002256,兆新股份,2698633.0,电网设备,0.0,-5.26,3.39,-2.71,8.87,519.0,437,3148
254,3.22,3.87,300155,安居宝,2932106.0,计算机设备,2.55,-5.85,0.57,-1.76,8.87,520.0,1200,2504
255,24.8,3.16,001229,魅视科技,7112540.0,计算机设备,5.0,-1.55,5.3,-0.74,8.86,521.0,237,1822
256,3.02,2.37,002081,金 螳 螂,2777415.0,装修装饰,1.0,-0.66,2.18,-0.56,8.84,523.0,692,1703
257,7.56,5.44,301056,森赫股份,4409517.0,专用设备,3.99,-2.33,3.18,0.25,8.81,526.0,482,1219
258,7.8,1.69,000037,深南电A,4173901.0,电力行业,-2.26,-8.56,-4.48,-3.16,8.81,527.0,3845,3478
259,21.61,5.67,300553,集智股份,3377142.0,仪器仪表,4.85,-4.47,1.71,-9.68,8.79,528.0,821,5318
260,8.54,1.67,300224,正海磁材,2243642.0,小金属,-3.5,-6.15,-4.68,-5.81,8.75,530.0,3934,4785
261,4.14,1.47,300082,奥克股份,898800.0,化学原料,0.24,-4.83,3.77,4.29,8.73,533.0,384,209
262,11.92,2.67,300940,南极光,1093574.0,光学光电子,-2.85,-9.22,2.29,-1.6,8.73,534.0,664,2403
263,7.95,2.05,301066,万事利,1369090.0,纺织服装,-1.12,-1.61,-2.96,0.68,8.71,538.0,3040,1020
264,2.47,1.23,002565,顺灏股份,4676036.0,包装材料,5.56,1.65,1.0,5.56,8.7,539.0,1050,123
265,13.77,0.58,300233,金城医药,2551606.0,化学制药,-4.44,-7.95,-7.87,-6.08,8.66,540.0,4924,4847
266,12.32,-0.32,301188,力诺特玻,2348343.0,玻璃玻纤,0.16,-6.1,0.76,-2.91,8.63,544.0,1125,3314
267,28.78,2.42,002870,香山股份,3466555.0,汽车零部件,3.41,-1.0,-2.25,-4.28,8.63,545.0,2647,4143
268,7.15,1.27,300041,回天新材,2125337.0,化学制品,-3.12,-3.9,-11.14,-7.4,8.56,551.0,5292,5122
269,3.77,1.07,002696,百洋股份,831115.0,农牧饲渔,0.53,-3.83,-1.01,0.09,8.56,552.0,1983,1305
270,4.01,1.26,002951,*ST金时,308913.0,包装材料,-0.99,-8.66,1.62,-5.64,8.56,553.0,852,4723
271,7.7,1.99,300493,润欣科技,8084043.0,半导体,7.84,3.91,2.85,1.69,8.55,555.0,539,663
272,5.35,3.08,000655,金岭矿业,1475561.0,钢铁行业,-0.19,-5.48,12.48,5.01,8.55,556.0,32,152
273,27.86,6.38,301252,同星科技,10031105.0,通用设备,7.2,-0.43,4.15,0.24,8.54,557.0,342,1224
274,14.28,1.93,001218,丽臣实业,554037.0,化学制品,-1.65,-4.55,-6.7,-4.86,8.54,558.0,4653,4444
275,1.73,4.22,000903,云内动力,4018762.0,汽车零部件,1.76,-2.26,1.62,-1.2,8.53,559.0,846,2109
276,15.14,1.2,300130,新国都,9612309.0,计算机设备,-3.26,-5.38,2.13,-0.73,8.5,562.0,705,1816
277,29.28,5.29,301255,通力科技,4733508.0,通用设备,2.06,-1.15,1.83,1.29,8.5,563.0,789,778
278,3.44,2.99,000701,厦门信达,2883470.0,商业百货,0.58,-7.77,2.36,-2.26,8.48,565.0,649,2854
279,3.77,3.29,300329,海伦钢琴,1694279.0,家用轻工,-1.57,-5.51,-4.56,-1.03,8.46,567.0,3885,1989
280,22.85,1.78,301026,浩通科技,5042727.0,小金属,-1.85,-8.49,1.87,-0.26,8.44,568.0,779,1534
281,4.42,3.27,300221,银禧科技,4273778.0,塑料制品,1.38,-12.3,-8.27,-11.84,8.42,569.0,4982,5390
282,3.54,4.73,002712,思美传媒,8498474.0,文化传媒,3.21,0.0,1.25,-0.24,8.4,570.0,966,1519
283,22.72,1.34,002837,英维克,22294868.0,专用设备,-3.11,-7.42,1.89,-3.2,8.38,573.0,769,3503
284,10.19,1.09,002654,万润科技,21731823.0,文化传媒,-2.77,-4.68,-2.54,-3.74,8.37,574.0,2792,3842
285,19.31,2.88,301187,欧圣电气,6805457.0,家电行业,-7.21,-15.86,-0.95,-3.29,8.33,576.0,1949,3568
286,39.5,2.73,300014,亿纬锂能,88595609.0,电池,-1.25,4.03,-2.83,-0.89,8.32,577.0,2960,1907
287,15.83,1.21,300595,欧普康视,7101073.0,医疗器械,-4.23,-2.88,-6.4,-2.64,8.31,578.0,4567,3108
